topic,description,video_url,Instructions,user1 decision,user1 decision date,user2,user3 decision date,user3,user3 decision date,demo_video
pottery_channels,videos of pottery_channels,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/pottery_channels/mp4/UCIyqGJcFKyyS-xHUONHTcGw-score-5.mp4,,,,,,,,
pottery_channels,videos of pottery_channels,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/pottery_channels/mp4/UCLSQBHOIriZ1FA9UWucwa-Q-score-5.mp4,,,,,,,,
pottery_channels,videos of pottery_channels,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/pottery_channels/mp4/UCMcHUFwF2b6Lc5i0uWZQ8uA-score-5.mp4,,,,,,,,
pottery_channels,videos of pottery_channels,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/pottery_channels/mp4/UCMdtCBz8q-NzrdFL48HiKOg-score-5.mp4,,,,,,,,
pottery_channels,videos of pottery_channels,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/pottery_channels/mp4/UCUm9z3k2FCgu0t01rdhUqFQ-score-4.mp4,,,,,,,,
pottery_channels,videos of pottery_channels,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/pottery_channels/mp4/UCUzE9sYzuuLg0BPurenEs7w-score-5.mp4,,,,,,,,
pottery_channels,videos of pottery_channels,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/pottery_channels/mp4/UCV0aepAGKMkdvBlN3saNNKw-score-4.mp4,,,,,,,,
pottery_channels,videos of pottery_channels,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/pottery_channels/mp4/UCV7_p6g7T-mO1NzoqnPin1w-score-4.mp4,,,,,,,,
pottery_channels,videos of pottery_channels,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/pottery_channels/mp4/UCWQ05K0LGKabHTPqbSsCPQA-score-5.mp4,,,,,,,,
pottery_channels,videos of pottery_channels,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/pottery_channels/mp4/UCZ4H-OVhuV8mEcpKp2rYddA-score-4.mp4,,,,,,,,
pottery_channels,videos of pottery_channels,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/pottery_channels/mp4/UCafl0aLozylETuOQhc993gA-score-4.mp4,,,,,,,,
pottery_channels,videos of pottery_channels,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/pottery_channels/mp4/UCcjNGJFyNd2woPucklQlkNw-score-5.mp4,,,,,,,,
pottery_channels,videos of pottery_channels,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/pottery_channels/mp4/UCdSjiTTwcSBRaTH4ARrv8Kg-score-5.mp4,,,,,,,,
pottery_channels,videos of pottery_channels,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/pottery_channels/mp4/UCdZE_GcudT9kzOGKle5xIOw-score-4.mp4,,,,,,,,
pottery_channels,videos of pottery_channels,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/pottery_channels/mp4/UCg3YOd0wQWorYHTlKmI3hhg-score-4.mp4,,,,,,,,
pottery_channels,videos of pottery_channels,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/pottery_channels/mp4/UChNazfZdCsrt5XLPb_lbQsQ-score-4.mp4,,,,,,,,
pottery_channels,videos of pottery_channels,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/pottery_channels/mp4/UCk3vNq4pF3bq4VKdhoTojlA-score-5.mp4,,,,,,,,
pottery_channels,videos of pottery_channels,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/pottery_channels/mp4/UCmKUDYj3Vph4XwKBpQwE4mw-score-5.mp4,,,,,,,,
pottery_channels,videos of pottery_channels,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/pottery_channels/mp4/UCnID9FLhFfYyabAKr7ZiF_g-score-4.mp4,,,,,,,,
pottery_channels,videos of pottery_channels,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/pottery_channels/mp4/UCo6n7Io2Mg1SOTYdTn0DJWw-score-4.mp4,,,,,,,,
pottery_channels,videos of pottery_channels,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/pottery_channels/mp4/UCq_QikIlFOCJeVg_ZVHdBRA-score-4.mp4,,,,,,,,
pottery_channels,videos of pottery_channels,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/pottery_channels/mp4/UCuZtUU2of0H7CUn4n6-STYw-score-5.mp4,,,,,,,,
pottery_channels,videos of pottery_channels,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/pottery_channels/mp4/UCvmI3plFBzx0jLLWVXSFaPQ-score-4.mp4,,,,,,,,
pottery_channels,videos of pottery_channels,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/pottery_channels/mp4/UCyaJtPAji4ThtMn6nHuCggg-score-5.mp4,,,,,,,,
pottery_channels,videos of pottery_channels,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/pottery_channels/mp4/UCzP98JaRcVeSKJ-SIHVQl1w-score-4.mp4,,,,,,,,
pottery_channels,videos of pottery_channels,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/pottery_channels/mp4/UCzQG3JVALbKvbaqhiBtIhBg-score-5.mp4,,,,,,,,
