i,url,handle,name,subscribers,videos_count,views,created_date,location,product,discovery_keywords,family,channel_id,score_0_5,reason,other_topic,scored_by,bucket,evidence,description,top_video_titles,links
10,https://www.youtube.com/@moh.thestudio,@Moh.thestudio,Moh - The Pottery Studio,17,130,33486,2025-06-07,,,pottery wheel,filter:tool,UCSJCvunqhkjZpGyfGoeq8QA,2,"Home pottery studio offering wheel and hand experiences, but titles show unrelated vlog/quote content, drifted format.",,sonnet,drop,desc+titles,"Moh.the studio is a home pottery studio in Lucknow offering wheel and hand pottery experiences, group workshops, and hand-crafted clay products - perfect for gifting/home decor. From one-time experiences to longer explorations, the studio offers a range of creative activities for all age groups, regardless of prior pottery experience. The studio also offers a completely functional setup including all necessary pottery tools and equipment, pottery wheels and kiln space. You can reach out for: ✨ Pottery sessions, Group workshops, social events ✨ Corporate workshops & Exhibitions ✨ Home-shop for ","*The earthy lamp* | “All other things may change and may change us but it always start and ends with family”- Anthony B. | “Talking silhouettes” | No expression of love is ever lost or wasted | “Only the two of us, together, flying high upon the wings of love” Jeffery Osborne | When they make a song pop in your head..you make a reel 😎 | 💙💛💜💚❤️🧡#myearthytaleoflove #ladkipagalhai | “It’s in our hands to create a better world for all who live in it”- Nelson Mandela | Because…the best part is knowin",
11,https://www.youtube.com/@%ed%82%a4%eb%a5%b4%ec%95%84%ed%8b%b0%eb%b9%84,@%ED%82%A4%EB%A5%B4%EC%95%84%ED%8B%B0%EB%B9%84,키르아티비,13500,2480,3573103,2017-09-14,,,물레,filter:lang,UCs799G3QmBLIm3doYDoQRsg,0,"Gaming/streamer channel, 물레 keyword collision from 시물레이션 simulation, no pottery content.",,sonnet,drop,desc,겜잘알 1티어스트리머 홀덤 모바일RPG 전략시물레이션 ▶ 개인 컨텐츠및 기타문의 : 카카오톡: NO141212 E-MAIL:MIDOWVAN@NAVER.COM ▶ 광고 문의 : 카카오톡: FM7777 ◀ E-MAIL: FM7777@FANDOMMAKE.COM,,
12,https://www.youtube.com/@mwceramics,@mwceramics,MW Ceramics,22400,101,984286,2019-03-14,,,wheel throwing,filter:technique,UCdZE_GcudT9kzOGKle5xIOw,4,Experienced ceramic teacher channel covering variety of clay techniques including wheel throwing basics to advanced.,,sonnet,keep,desc,"For business-related inquiries, please send me an email. Ready to get your hands dirty? You've landed in the perfect spot to explore the wonderful world of clay! With over two decades of ceramic artistry and more than a decade of teaching experience, I'm here to guide you through a variety of techniques to create both practical and artistic pieces. From beginner basics to more advanced projects, you'll discover the joy of playing with ""mud"". Subscribe now so you never miss out on the latest ways to unleash your creativity! Learn wheel throwing, glazing, and more. Let's transform some mud into ",,instagram.com/mwceramicshawaii | tiktok.com/@mwceramic | amazon.com/shop/mwceramics?ref_=cm_sw_r_cp_ud_aipsfshop_S0WP0BE1Z6CPDW18MFKB
13,https://www.youtube.com/@creativeartsstudio,@CreativeArtsStudio,Creative Arts Studio,654,68,153235,2012-10-06,,,wheel throwing,filter:technique,UCWNUU35P2eKBI3dgPZPPgRQ,2,"Multi-craft art studio where wheel throwing is one of many offerings alongside painting, mosaics, glass fusing.",,sonnet,drop,desc,"The Creative Arts Studio invites you and yours out to our studio-art room for an adventure in art, here in Royal Oak, Michigan, just outside of Detroit. There are many facets of art here for you to explore and indulge in. You can paint on canvas, paint on pallet boards, paint on pottery or paint on ornaments. You can also make Raku pottery, mosaics, glass fusing, or you can try your hand at wheel throwing. To experience art in all its forms is like an adventure in creativity, where whole new worlds await your discovery! Let the Creative Arts Studio be your art-adventure headquarters for an exp",,potteryartkits.com | creativeartsstudios.com | facebook.com/search/top?q=creativeartsstudioro | instagram.com/creativeartsstudios | linkedin.com/company/creative-arts-studio-royal-oak/about
14,https://www.youtube.com/@benwolffpottery,@benwolffpottery,Ben Wolff Pottery,7570,423,2117707,2006-05-19,,,wheel throwing,filter:technique,UCdSjiTTwcSBRaTH4ARrv8Kg,5,"Dedicated wheel throwing pottery channel with tutorials, studio process, kiln firings, live wheel work streams.",,sonnet,keep,desc,"Welcome to Ben Wolff Pottery — Your home for wheel throwing, ceramics, and clay artistry. Watch pottery videos featuring tutorials, studio process clips, kiln firings, and behind-the-scenes creations. Join our live streams for real-time wheel work, Q&A, and relaxing pottery sessions. Whether you're learning pottery or love handmade ceramics, subscribe for inspiring clay content, pottery demonstrations, and creative live streams every week 😀 As seen on NBC, CBS, Martha Stewart, Martha Stewart Living, Wall Street Journal, Yankee Magazine, and more. 🔴 LIVE STREAMS Join Ben Wolff for real-time pot",,youtube.com/channel/UCdSjiTTwcSBRaTH4ARrv8Kg/join | benwolffpottery.com | instagram.com/benwolffpottery | youtube.com/channel/UCc2KCtKGuHPvohQXj1OZg1w
15,https://www.youtube.com/@dipakartpottery,@DipakArtPottery,Dipak Art & Pottery,758,151,335004,2023-06-13,,,pottery wheel,filter:tool,UCvmI3plFBzx0jLLWVXSFaPQ,4,"Indian traditional pottery channel showing potter's wheel work, clay pot/diya making titles confirm process footage.",,sonnet,keep,desc+titles,"This is a bengali clay craft and pottery work created by Dipak Pal. Enjoy the best pottery work ,making clay pottery with a potter's wheel, tea cup making, diya making, mrittika barton making, pugmill, pottery wheel, pot, diya making machine, clay work, paper flower making, Indian clay art, Indian pottery, thanks for visiting. How to make clay pot How to make clay tea cup How to make clay diya How to make clay lamp How to mixing clay Indian clay art Indian pottery art Indian pottery making Village pottery Clay craft Mitti ka barton banana How to make clay vase How to make mud pot Kumhar er kaj","Indian village pottery; Clay bank /mitti ka gullak /Pottery work #pottery #art #clay 1 minute, 5 seconds | How to make clay pot / মাটির কলসি / matka 36 seconds | pottery classes in india; traditional pottery making / Clay pot making #Clay #pottery #claycraft 1 minute, 11 seconds | Making Clay Pottery Bowl on the Wheel; Indian Pottery making/ Clay pot making/ Clay bowl/ Clay craft 1 minute, 1 second | Indian pottery making; मिट्टी का गुलदस्ता / Clay flower vase making/ clay Art/ guldasta/ fuldhan",facebook.com/profile.php?id=100009389169186&mibextid=ZbWKwL | instagram.com/dipakpal224?igshid=MzNlNGNkZWQ4Mg==
16,https://www.youtube.com/@cutebacha2.5,@cutebacha2.5,해외선물 해선도령,236000,809,156946655,2023-09-04,,,물레,filter:lang,UCxUz2LNyqb5w1g3NxuB10AA,0,"Korean overseas futures trading channel, 물레 keyword collision, no pottery evidence.",,sonnet,drop,desc,"카카오톡 문의하기 ​​https://open.kakao.com/o/sTVtUuqg 1부 오전 10시~오후 3시 2부 오후 8시~새벽 12시 ▶HTS 신규 가입만 해도 20만 지급 ▶첫 담보 20% 지급 ▶매주 실현손익, 수수료 10% 페이백 이벤트 ▶지인 추천 및 다양한 이벤트 진행중입니다 #해외선물 #해외선물실시간 #해외선물가족방 #해외선물단톡방 #해외선물리딩 #해선학교 #주식 #코인 #비트코인 #해외선물하는방법 #해외선물하는법 #해외선물공부 #해외선물초보 #해외선물레전드 #해외선물수익 #해외선물해선도령",,
17,https://www.youtube.com/@%eb%8f%85%ec%8b%a0%ec%9e%84%ec%84%b1%ea%b4%80,@%EB%8F%85%EC%8B%A0%EC%9E%84%EC%84%B1%EA%B4%80,독신 임성관,308,80,5125,2024-12-17,,,물레,filter:lang,UCja5m_eIgxnshkMS3Y8qyFg,0,"Reading/book channel, 물레 only appears in publisher name '시간의 물레', unrelated to pottery.",,sonnet,drop,desc,"안녕하세요, 독신(讀信) 임성관입니다. 20년 넘게 독서 분야를 연구하고 현장에서 실천한 경험을 체계적으로 정리하면서, 그 과정을 많은 분들과 나누기 위해서 유튜브 채널을 개설했습니다. 부디 이 채널이 많은 분들과 상호작용을 할 수 있는 장이 되기를 바라고, 내용 또한 도움이 되기를 원합니다. 촬영 및 편집을 도와주신 '중앙사이버평생교육원', 독서 분야 연구 및 실천을 함께 해나가는 '휴독서치료연구소', 그 결과를 책으로 엮어 주시는 '시간의 물레' 출판사, 많은 응원과 지원을 해주시는 '그냥금집'에도 감사 인사 올립니다.",,
18,https://www.youtube.com/@%ec%84%a0%ed%83%9d%ea%b3%bc%ec%a7%91%ec%a4%91-x7n,@%EC%84%A0%ED%83%9D%EA%B3%BC%EC%A7%91%EC%A4%91-x7n,선택과집중,237,597,32210,2022-12-16,,,물레,filter:lang,UCykZr4PU-V4ld4YV9KDFG9Q,0,"Stock trading channel, 물레 used metaphorically as waterwheel idiom, no pottery content.",,sonnet,drop,desc,차트분석의 신!!! 주도주포착하여 주식정보를 전달하는 채널!! 진솔하게 소통하면서 공부하면 초보탈출 도움 주는 유튜브 채널!! 주식투자!!! 수익의 속도가 중요하지 않습니다 투자방향이 바르면 수익은 그림자처럼 따라 옵니다 사람 사는 세상 돌고도는 물레방아와 같아서 주식투자의 경험도 유사한 경우가 많습니다 바른마음으로 바른투자를 할때 정석투자로 성공투자를 기대 할수 있습니다 성공투자를 위해 투자의 마인드로 지혜로운 투자자가 되시기 바랍니다 주식투자는 심리투자이므로 시장에 위축되지 않으려면 기준과원칙투자가 중요 합니다 투자자의 마인드와 투자방향이 성공&실패로 나뉘게 됩니다 관심종목은 운영자의 관점이므로 투자에 참고 하세요 선택과집중...기다림의 미학으로 성공투자 기원 합니다^^ 주식투자가 어려운분은 공부하는 마음으로 진솔하게 소통하면서 함께 공부하는 공간으로 이어가세요 함께 공부 하실분은 codms0788@naver.com 주식투자!!!! 아는만큼만 보인다~~~ 사람은 배신해도 절대 공부는 배신하지 않는다!!! 오랜 시간 주식투자를 경험하면서 절대 잊지않는 문구 입니다 구독 & 좋아요!!! 꾹 눌러주세요 모든투자의 책임은 투자자 본인에게 있습니다 성공투자 기원 ,,
19,https://www.youtube.com/@yhwhshivani,@yhwhshivani,Studio Madrasi ,835,309,962255,2021-02-05,,,wheel throwing,filter:technique,UC3LTki5VoYbL49hXwQPxqIg,1,"Description mentions wheel throwing but actual titles are all food/drink recipes, no pottery footage.",,sonnet,drop,desc+titles,"Hi guys ! I am shivani , Welcome to Studio Madrasi, your cozy corner for pottery inspiration, creative techniques, and community artistry! Dive into the world of clay with us as we explore wheel throwing, hand-building, and sculptural art, blending tradition with fresh ideas. ♥️","Mango lemonade ! #summer #mango #chefbymistake 1 minute, 45 seconds | Galaxy Smoothie #summer #galaxy #smoothie #chefbymistake 2 minutes | Magic drink #passionfruit #mango #summerdrinks #chefbymistake 2 minutes, 2 seconds | Mohabbatkasharbat | Watermelon | old style Delhi drink #watermelon #summer #chefbymistake 2 minutes, 28 seconds | Mango lassi popsicle #popsicle #summer #lassi #chefbymistake 1 minute, 46 seconds | Tropical Smoothie | Thickest summer smoothie #smoothie #tropical #summer #chef",instagram.com/sha_jon/saved
20,https://www.youtube.com/@trade_gony,@TRADE_GONY,해외선물고니,10200,355,1180631,2018-10-12,,,물레,filter:lang,UCA4uorltLxFF0VYzLAeK54A,0,"Korean futures trading channel, 물레 keyword collision from 해외선물레전드, no pottery content.",,sonnet,drop,desc,"전업 트레이딩 6년차 고니입니다. 항셍 위주의 매매를 하며 나스닥, 골드, 크루드오일, 비트코인도 꾸준히 매매중입니다. 차트분석, 손실복구 등등 각종 문의 환영합니다 ↓↓↓해외선물 증권사 HTS 문의 ↓↓↓ https://open.kakao.com/o/su7WxAif #해외선물 #나스닥 #나스닥선물 #항생 #매매기법 #거래량 #주식 #코인 #무료리딩 #재테크 #해외선물실시간 #해외선물실시간차트 오전10시~오후5시(평일) 방송합니다 #해외선물 #해외선물실시간 #해외선물가족방 #해외선물단톡방 #해외선물리딩 #해외선물엄석대 #해외선물한병태 #해선학교 #주식 #코인 #비트코인 #해외선물하는방법 #해외선물하는법 #해외선물공부 #해외선물초보 #해외선물레전드 #해외선물수익",,
21,https://www.youtube.com/@lifeandclay,@lifeandclay,Life and Clay,1590,88,252473,2023-07-13,,,wheel throwing | pottery wheel,filter:technique,UCuZtUU2of0H7CUn4n6-STYw,5,Pottery studio owner channel sharing detailed wheel throwing videos and studio life behind-the-scenes.,,sonnet,keep,desc,"Life of a potter in and out of a studio. Hi! My name is Iryna. Welcome to my channel! I’m an owner of two pottery studios in Brooklyn, NY where I teach people to amazing skills of wheel throwing and hand building. On this channel I share some moments of running a pottery studio, detailed videos of creating something on a pottery wheel or just with hands and also a bit of my life out of a studio. Stay tuned to see behind the scenes of being a potter :)",,instagram.com/keramostudio | keramostudio.com
22,https://www.youtube.com/@swancityceramics,@swancityceramics,Swan City Ceramics,29600,1053,17744813,2016-08-01,,,pottery wheel,filter:tool,UCMdtCBz8q-NzrdFL48HiKOg,5,Family ceramics business filming each piece thrown on the wheel with live studio sessions twice weekly.,,sonnet,keep,desc,"Live Every Tuesday and Thursday @ 1pm EST! We create one of a kind, functional, handmade ceramics. Each piece is individually thrown on a pottery wheel, and we make all the glazes fro scratch as well. We love making work that is useful, accessible, and one of a kind. Follow our journey, creating art and running a family business, and we can't do it without you! Thank you. ❤️ Check out our products on our website, and subscribe to our second channel below!",,swancityceramics.com | faire.com/direct/swancityceramics | youtube.com/@Nicholasjordanbergmann | instagram.com/swancityceramics | youtube.com/channel/UCMdtCBz8q-NzrdFL48HiKOg/join
23,https://www.youtube.com/@claytureart,@claytureart,Clayture Art,782,139,284548,2022-09-06,,,wheel throwing,filter:technique,UCcjNGJFyNd2woPucklQlkNw,5,"Titles show clear wheel throwing process videos making vases, houses, teapots on pottery wheel.",,sonnet,keep,desc+titles,"🏺✨ Welcome to my pottery world! Handmade with love, creativity, and passion. ❤️ Watch satisfying pottery making, clay shaping, wheel throwing, and unique ceramic art videos. 🎨👐 Every piece tells a story and every spin creates magic. 🌿✨ If you love pottery, handmade crafts, and relaxing art videos, this channel is for you! 😍 🔔 Subscribe now and join my creative journey. 💬 Like, Comment & Share your favorite designs. 📩 Stay connected for more amazing pottery videos! #Pottery #Ceramics #Handmade #ClayArt #PotteryMaking #SatisfyingVideos #ArtLovers #CreativeJourney",How to make a clay vase in pottery wheel #viral #clayvideos #vase #potterywheel | how to make a stylish vase in pottery wheel with clay #viral #clayvideos #trending #youtube | how to make a clay house in wheel #viral #clayvideos #youtube #trending | how to make TEA POT in pottery wheel #viral #clayvideos #youtube #trending | how to make a clay bottle satisfying pottery#viral #clayvideos #youtube | SATISFYING POTTERY MADE WITH CLAY #viral #clayvideos #youtube | I MADE A SUNFLOWER QITH HAND #viral,
24,https://www.youtube.com/@dreamloopcrafts,@DreamLoopcrafts,Dream Loop Crafts ,693,327,382135,2025-05-27,,,pottery wheel,filter:tool,UCfwY6-WkIdWvVmVRWZnTbrw,1,"Craft ASMR channel mentions pottery wheels but titles show fabric/printing manufacturing, not wheel throwing.",,sonnet,drop,desc+titles,"Dream Loop Crafts Drift into a world where every brushstroke, cut, and stitch becomes a gentle rhythm for the mind. At Dream Loop Crafts, we film mesmerizing, close-up process videos—pottery wheels spinning, yarn weaving in endless loops, tiny tools carving perfect grooves—then weave them into soothing visual journeys you can replay any time you need calm inspiration. Here you’ll find: 1.Hypnotic craft loops that lull you into a peaceful flow. 2.Timelapse builds showing raw materials transform into handmade art. 3.Soft ambient sounds—whirs, clicks, and crackles recorded ASMR-clean. 4.Creative ","How Printed Check Fabric Is Made | Fabric Production Process | Manufacturing Business Idea 2026 3 minutes, 22 seconds | Exam Cheating & Copy Leaks Explained 😲| What Really Happens Behind the Scenes 4 minutes, 15 seconds | Paper Printing Process | Professional Printing Techniques | #printingtutorial 2 minutes, 41 seconds | This Is How Builders Use Handmade Wooden Doors in Homes & Offices 17 minutes | Why the Best Heels for Ladies Are So Expensive – Dream Loop Crafts 3 minutes, 30 seconds | Desi S",instagram.com/dreamloopcraft?igsh=MTQ5ZWI5ZjJtd3B5cg== | tiktok.com/@dreamloopcrafts?_t=ZT-8xy8JOb7cAn&_r=1 | facebook.com/dreamloopcraftss
25,https://www.youtube.com/@braingames7205,@braingames7205,해외선물 사부사단,1220000,3696,7496734,2017-03-16,,,물레,filter:lang,UCGiycukoUWefaPWuficUoiQ,0,"Korean futures trading education channel, 물레 keyword collision, no pottery evidence.",,sonnet,drop,desc,🔔무료 정보 공유방 및 업체 상담 문의🔔 1대1차트교육 진행하고있습니다. 무료이니 상담주세요 정보공유방에서 해외선물 시장에 관한 자세한 정보를 교환하고 논의합니다. 해외선물은 미국시장 증시에 직접적인 영향이 있는 상품이기에 흐름만 보지않고 미국경제를 분석하며 안정적인 수익 구간을 노리며 투자하시길 바랍니다. 오늘도 성투 되시길 바라며 많은 시청 부탁드립니다. #해외선물 #해외선물실시간 #해외선물가족방 #해외선물단톡방 #해외선물리딩 #인범 #박호두 #주식 #코인 #비트코인 #해외선물하는방법 #해외선물하는법 #해외선물공부 #해외선물초보 #해외선물레전드 #해외선물수익,,
26,https://www.youtube.com/@vinceozart,@VinceOzArt,VinceOzArt Ceramics,780,52,204201,2011-11-11,,,wheel throwing,filter:technique,UCV7_p6g7T-mO1NzoqnPin1w,4,Ceramic artist channel teaching both hand building and wheel throwing techniques with glazing content.,,sonnet,keep,desc,"Ceramic artist sharing my love for clay while teaching how to form and create functional and sculptural objects using hand building and/or wheel throwing techniques. Glazing methods and application processes may be showcased as well. Hoping to share and network with ceramics students, artists and clay enthusiasts worldwide :)",,instagram.com/vinceozart
27,https://www.youtube.com/@marlaina_thepotterylady,@Marlaina_thepotterylady,Marlaina The Pottery Lady,9150,492,2721563,2022-02-24,,,wheel throwing,filter:technique,UCk3vNq4pF3bq4VKdhoTojlA,5,"Home pottery studio channel with wheel throwing tutorials, kiln firing reveals, glazing tips, ASMR wheel vibes.",,sonnet,keep,desc,"Welcome to Marlaina's Pottery Studio 🏺✨ — I'm Marlaina, your go-to pottery girl sharing the joy of clay from my home studio! Watch relaxing pottery tutorials, beginner pottery lessons, wheel throwing, kiln firing reveals, and cozy art vlogs. See me create mugs, bowls, vases, and more—plus glazing tips, custom mixes, beginner fixes, and all the therapeutic ASMR vibes of the wheel. Perfect for newbies learning pottery for beginners, intermediates seeking techniques, or anyone who loves ceramic art, handmade pottery, and creative energy. I believe that art has the power to make the world a better",,instagram.com/marlaina_thepotterylady | throwpottery.com | linktr.ee/marlainairene
28,https://www.youtube.com/@antmanarts,@AntManArts,Anthony’s Traditional Art 🎨,749,67,16967,2024-08-15,,,pottery wheel,filter:tool,UC8XVPuwUj1jqM0n88pYkUWA,1,"General art channel covering many mediums, pottery/ceramics only briefly mentioned among broader art history.",,sonnet,drop,desc,"If you love art, this channel is for you! 🧑‍🎨🎨🖼️🖌️ Welcome to the world of creativity, color, and imagination! 🎨 This channel is where every artist — from beginners to masters — can learn, create, and grow. I explore everything from ceramics and glass art to portrait drawing, pattern design, and art history. Each week, I break down artistic techniques, share creative challenges, and explore the stories behind the greatest artists in history. Whether you want to master clay, draw realistic faces, understand art vocabulary, or discover how art has shaped culture, you’re in the right place. 🌎 My ",,
